"","iter","swarm","algorithm","loglikelihood"
"34.4",750,200,"DE",-2755.00295407157
"34.5",750,200,"DE",-2756.17872685675
"34.6",750,200,"DE",-2754.98527051279
"34.7",750,200,"DE",-2755.23495222323
"34.8",750,200,"DE",-2755.07865610116
"34.9",750,200,"DE",-2754.97910612948
"35",1000,200,"DE",-2754.87818177563
"35.1",1000,200,"DE",-2755.10507673808
"35.2",1000,200,"DE",-2755.1099743059
"35.3",1000,200,"DE",-2755.31910687668
"35.4",1000,200,"DE",-2754.94210943008
"35.5",1000,200,"DE",-2754.85731080629
"35.6",1000,200,"DE",-2755.03218429264
"35.7",1000,200,"DE",-2755.14352445637
"35.8",1000,200,"DE",-2755.0551376895
"35.9",1000,200,"DE",-2754.94524401515
"36",2000,200,"DE",-2754.88705542815
"36.1",2000,200,"DE",-2754.86154492036
"36.2",2000,200,"DE",-2754.98495358301
"36.3",2000,200,"DE",-2754.93472000679
"36.4",2000,200,"DE",-2754.87188874679
"36.5",2000,200,"DE",-2754.90652416766
"36.6",2000,200,"DE",-2754.91439034553
"36.7",2000,200,"DE",-2754.94224911652
"36.8",2000,200,"DE",-2754.83730982219
"36.9",2000,200,"DE",-2754.90506571115
"37",100,10,"GWO",-2768.29863833414
"37.1",100,10,"GWO",-2760.6664464017
"37.2",100,10,"GWO",-2776.2942766518
"37.3",100,10,"GWO",-2759.7874398588
"37.4",100,10,"GWO",-2765.40646474132
"37.5",100,10,"GWO",-2762.34075860331
"37.6",100,10,"GWO",-2792.26368856942
"37.7",100,10,"GWO",-2768.65237246277
"37.8",100,10,"GWO",-2772.5383448043
"37.9",100,10,"GWO",-2761.98365087434
"38",250,10,"GWO",-2766.19429598082
"38.1",250,10,"GWO",-2766.38551510884
"38.2",250,10,"GWO",-2764.31268451052
"38.3",250,10,"GWO",-2757.81202420502
"38.4",250,10,"GWO",-2755.52346276933
"38.5",250,10,"GWO",-2762.49090924789
"38.6",250,10,"GWO",-2759.08103984084
"38.7",250,10,"GWO",-2793.9518107592
"38.8",250,10,"GWO",-2764.82109298655
"38.9",250,10,"GWO",-2765.81915101151
"39",500,10,"GWO",-2769.75331825108
"39.1",500,10,"GWO",-2790.46369360576
"39.2",500,10,"GWO",-2757.64119982835
"39.3",500,10,"GWO",-2761.79604796797
"39.4",500,10,"GWO",-2766.93275069704
"39.5",500,10,"GWO",-2757.74228910653
"39.6",500,10,"GWO",-2770.75024346686
"39.7",500,10,"GWO",-2757.10615384986
"39.8",500,10,"GWO",-2769.45830737243
"39.9",500,10,"GWO",-2759.93807330403
"40",750,10,"GWO",-2772.89955033088
"40.1",750,10,"GWO",-2774.7247250694
"40.2",750,10,"GWO",-2772.83269376055
"40.3",750,10,"GWO",-2797.82125917652
"40.4",750,10,"GWO",-2757.69605098154
"40.5",750,10,"GWO",-2807.8864356391
"40.6",750,10,"GWO",-2757.72005680607
"40.7",750,10,"GWO",-2761.33410003262
"40.8",750,10,"GWO",-2760.40223986306
"40.9",750,10,"GWO",-2755.57560087367
"41",1000,10,"GWO",-2756.61798320586
"41.1",1000,10,"GWO",-2755.4446759527
"41.2",1000,10,"GWO",-2761.59837311373
"41.3",1000,10,"GWO",-2782.23074287422
"41.4",1000,10,"GWO",-2769.86338226264
"41.5",1000,10,"GWO",-2769.41873456105
"41.6",1000,10,"GWO",-2804.49078095371
"41.7",1000,10,"GWO",-2762.02530959471
"41.8",1000,10,"GWO",-2760.17835490116
"41.9",1000,10,"GWO",-2776.81185677902
"42",2000,10,"GWO",-2759.54188912505
"42.1",2000,10,"GWO",-2755.16560085021
"42.2",2000,10,"GWO",-2760.43307458128
"42.3",2000,10,"GWO",-2757.26415055191
"42.4",2000,10,"GWO",-2779.5351222504
"42.5",2000,10,"GWO",-2778.42002408599
"42.6",2000,10,"GWO",-2755.12850275932
"42.7",2000,10,"GWO",-2761.978506793
"42.8",2000,10,"GWO",-2757.83799665457
"42.9",2000,10,"GWO",-2758.98653611912
"43",100,20,"GWO",-2762.1768834565
"43.1",100,20,"GWO",-2760.74517420534
"43.2",100,20,"GWO",-2762.74127512473
"43.3",100,20,"GWO",-2766.44972872447
"43.4",100,20,"GWO",-2757.78916065648
"43.5",100,20,"GWO",-2763.92706682225
"43.6",100,20,"GWO",-2765.19945017501
"43.7",100,20,"GWO",-2765.19772048859
"43.8",100,20,"GWO",-2767.04306271344
"43.9",100,20,"GWO",-2777.15349448455
"44",250,20,"GWO",-2759.47896997932
"44.1",250,20,"GWO",-2774.04922536044
"44.2",250,20,"GWO",-2755.9469709891
"44.3",250,20,"GWO",-2770.48144816054
"44.4",250,20,"GWO",-2756.84333796018
"44.5",250,20,"GWO",-2765.26095895242
"44.6",250,20,"GWO",-2757.14925655519
"44.7",250,20,"GWO",-2760.73089576741
"44.8",250,20,"GWO",-2760.43044264797
"44.9",250,20,"GWO",-2758.04302388624
"45",500,20,"GWO",-2764.25212016748
"45.1",500,20,"GWO",-2774.75731649915
"45.2",500,20,"GWO",-2761.36361460643
"45.3",500,20,"GWO",-2772.98829200094
"45.4",500,20,"GWO",-2755.30405295739
"45.5",500,20,"GWO",-2761.4915614207
"45.6",500,20,"GWO",-2755.20281711708
"45.7",500,20,"GWO",-2757.71843684017
"45.8",500,20,"GWO",-2756.98755201939
"45.9",500,20,"GWO",-2764.04515915209
"46",750,20,"GWO",-2760.41952479252
"46.1",750,20,"GWO",-2776.32970119459
"46.2",750,20,"GWO",-2757.14806305155
"46.3",750,20,"GWO",-2771.66128802736
"46.4",750,20,"GWO",-2757.14219200386
"46.5",750,20,"GWO",-2771.64114727716
"46.6",750,20,"GWO",-2760.68955770259
"46.7",750,20,"GWO",-2759.4501202656
"46.8",750,20,"GWO",-2757.23280704302
"46.9",750,20,"GWO",-2763.33231726207
"47",1000,20,"GWO",-2772.13489506922
"47.1",1000,20,"GWO",-2760.67140261151
"47.2",1000,20,"GWO",-2759.09158273358
"47.3",1000,20,"GWO",-2774.22940516034
"47.4",1000,20,"GWO",-2758.93361141959
"47.5",1000,20,"GWO",-2763.86787276051
"47.6",1000,20,"GWO",-2762.08185562664
"47.7",1000,20,"GWO",-2776.05117687325
"47.8",1000,20,"GWO",-2767.05833832711
"47.9",1000,20,"GWO",-2758.30457628153
"48",2000,20,"GWO",-2755.14665347237
"48.1",2000,20,"GWO",-2755.33254698203
"48.2",2000,20,"GWO",-2758.77346197203
"48.3",2000,20,"GWO",-2761.3541665205
"48.4",2000,20,"GWO",-2758.7124374366
"48.5",2000,20,"GWO",-2764.78285251298
"48.6",2000,20,"GWO",-2763.23446043931
"48.7",2000,20,"GWO",-2758.65599291953
"48.8",2000,20,"GWO",-2766.0559919378
"48.9",2000,20,"GWO",-2757.13381185623
"49",100,50,"GWO",-2759.38253617818
"49.1",100,50,"GWO",-2757.10960824544
"49.2",100,50,"GWO",-2759.5615340219
"49.3",100,50,"GWO",-2758.56883473863
"49.4",100,50,"GWO",-2759.8778827762
"49.5",100,50,"GWO",-2756.21400075159
"49.6",100,50,"GWO",-2761.56353327797
"49.7",100,50,"GWO",-2757.22184309173
"49.8",100,50,"GWO",-2759.52779681697
"49.9",100,50,"GWO",-2761.75989687358
"50",250,50,"GWO",-2758.50821957403
"50.1",250,50,"GWO",-2755.52670493298
"50.2",250,50,"GWO",-2762.53175324613
"50.3",250,50,"GWO",-2755.21959188161
"50.4",250,50,"GWO",-2757.12246515715
"50.5",250,50,"GWO",-2762.33374243808
"50.6",250,50,"GWO",-2757.84360244955
"50.7",250,50,"GWO",-2755.69866800462
"50.8",250,50,"GWO",-2760.88500068055
"50.9",250,50,"GWO",-2758.63933039683
"51",500,50,"GWO",-2757.10285537784
"51.1",500,50,"GWO",-2755.18532985876
"51.2",500,50,"GWO",-2755.42900702186
"51.3",500,50,"GWO",-2755.28206251578
"51.4",500,50,"GWO",-2776.34326800323
"51.5",500,50,"GWO",-2757.33713820251
"51.6",500,50,"GWO",-2757.4511067623
"51.7",500,50,"GWO",-2757.44772256395
"51.8",500,50,"GWO",-2759.00653497909
"51.9",500,50,"GWO",-2757.90624302985
"52",750,50,"GWO",-2767.31935407491
"52.1",750,50,"GWO",-2763.3798902403
"52.2",750,50,"GWO",-2760.92996473316
