"","iter","swarm","algorithm","loglikelihood"
"51.5",500,50,"GWO",-504.037473161145
"51.6",500,50,"GWO",-504.055721317344
"51.7",500,50,"GWO",-504.052621430689
"51.8",500,50,"GWO",-504.169411082321
"51.9",500,50,"GWO",-504.070582207607
"52",750,50,"GWO",-504.301848417316
"52.1",750,50,"GWO",-504.202302442677
"52.2",750,50,"GWO",-504.201725649773
"52.3",750,50,"GWO",-504.055461895649
"52.4",750,50,"GWO",-504.689894976678
"52.5",750,50,"GWO",-504.061437498508
"52.6",750,50,"GWO",-504.201532802951
"52.7",750,50,"GWO",-504.062901821299
"52.8",750,50,"GWO",-504.552479291657
"52.9",750,50,"GWO",-504.040319123338
"53",1000,50,"GWO",-504.199748458938
"53.1",1000,50,"GWO",-504.051525846613
"53.2",1000,50,"GWO",-504.201904788467
"53.3",1000,50,"GWO",-504.552449231112
"53.4",1000,50,"GWO",-504.663872212563
"53.5",1000,50,"GWO",-504.037424439561
"53.6",1000,50,"GWO",-504.053111943601
"53.7",1000,50,"GWO",-504.057180367712
"53.8",1000,50,"GWO",-504.688489911617
"53.9",1000,50,"GWO",-504.056733758546
"54",2000,50,"GWO",-504.043767830166
"54.1",2000,50,"GWO",-504.048247191546
"54.2",2000,50,"GWO",-506.047870931363
"54.3",2000,50,"GWO",-504.047199242632
"54.4",2000,50,"GWO",-504.05026297426
"54.5",2000,50,"GWO",-505.268250091945
"54.6",2000,50,"GWO",-504.040237170461
"54.7",2000,50,"GWO",-504.05420345953
"54.8",2000,50,"GWO",-504.051688316825
"54.9",2000,50,"GWO",-504.552417461328
"55",100,75,"GWO",-504.286554969587
"55.1",100,75,"GWO",-504.082165341319
"55.2",100,75,"GWO",-504.08731483602
"55.3",100,75,"GWO",-504.081089863441
"55.4",100,75,"GWO",-504.071954997484
"55.5",100,75,"GWO",-504.692188218706
"55.6",100,75,"GWO",-504.093956948628
"55.7",100,75,"GWO",-504.490337041015
"55.8",100,75,"GWO",-504.55187878478
"55.9",100,75,"GWO",-504.669892414467
"56",250,75,"GWO",-504.06345619763
"56.1",250,75,"GWO",-504.056685205506
"56.2",250,75,"GWO",-504.049499016734
"56.3",250,75,"GWO",-504.055175255368
"56.4",250,75,"GWO",-504.060517895871
"56.5",250,75,"GWO",-504.127925197378
"56.6",250,75,"GWO",-504.059622967868
"56.7",250,75,"GWO",-504.202335404081
"56.8",250,75,"GWO",-504.125604223578
"56.9",250,75,"GWO",-504.637203398756
"57",500,75,"GWO",-504.057401038373
"57.1",500,75,"GWO",-504.063278545062
"57.2",500,75,"GWO",-504.201279151859
"57.3",500,75,"GWO",-504.055804092657
"57.4",500,75,"GWO",-504.202291667812
"57.5",500,75,"GWO",-504.451108882408
"57.6",500,75,"GWO",-504.201961858881
"57.7",500,75,"GWO",-504.049510930235
"57.8",500,75,"GWO",-504.037872958529
"57.9",500,75,"GWO",-504.552482767407
"58",750,75,"GWO",-504.742597833463
"58.1",750,75,"GWO",-504.049709286165
"58.2",750,75,"GWO",-504.060039567988
"58.3",750,75,"GWO",-504.20226071443
"58.4",750,75,"GWO",-504.552408069784
"58.5",750,75,"GWO",-504.051267896645
"58.6",750,75,"GWO",-504.070069569338
"58.7",750,75,"GWO",-504.059944618399
"58.8",750,75,"GWO",-504.060787778357
"58.9",750,75,"GWO",-504.059217952409
"59",1000,75,"GWO",-504.047552917305
"59.1",1000,75,"GWO",-504.04855908278
"59.2",1000,75,"GWO",-504.202270995804
"59.3",1000,75,"GWO",-504.053436621704
"59.4",1000,75,"GWO",-504.201080713407
"59.5",1000,75,"GWO",-504.049388382664
"59.6",1000,75,"GWO",-504.202268602723
"59.7",1000,75,"GWO",-504.046429545622
"59.8",1000,75,"GWO",-504.695420519466
"59.9",1000,75,"GWO",-504.049536157084
"60",2000,75,"GWO",-504.050509121637
"60.1",2000,75,"GWO",-504.047832382954
"60.2",2000,75,"GWO",-504.046917995998
"60.3",2000,75,"GWO",-504.547734819613
"60.4",2000,75,"GWO",-504.045031863855
"60.5",2000,75,"GWO",-504.04679766703
"60.6",2000,75,"GWO",-504.04916903721
"60.7",2000,75,"GWO",-504.552403744189
"60.8",2000,75,"GWO",-504.050267306831
"60.9",2000,75,"GWO",-504.037589577174
"61",100,100,"GWO",-504.07225041316
"61.1",100,100,"GWO",-504.19233255639
"61.2",100,100,"GWO",-504.069384863369
"61.3",100,100,"GWO",-504.203707813935
"61.4",100,100,"GWO",-504.694296316805
"61.5",100,100,"GWO",-504.722571021496
"61.6",100,100,"GWO",-504.577403580937
"61.7",100,100,"GWO",-504.65090954501
"61.8",100,100,"GWO",-504.051107756596
"61.9",100,100,"GWO",-504.543524484646
"62",250,100,"GWO",-504.491315298903
"62.1",250,100,"GWO",-504.683684616522
"62.2",250,100,"GWO",-504.695545180288
"62.3",250,100,"GWO",-504.061476094443
"62.4",250,100,"GWO",-504.201011358526
"62.5",250,100,"GWO",-504.054161491998
"62.6",250,100,"GWO",-504.736753033324
"62.7",250,100,"GWO",-504.067127785996
"62.8",250,100,"GWO",-504.664193614036
"62.9",250,100,"GWO",-504.053404668474
"63",500,100,"GWO",-504.050326634318
"63.1",500,100,"GWO",-504.0541369487
"63.2",500,100,"GWO",-504.055825925867
"63.3",500,100,"GWO",-504.638092223186
"63.4",500,100,"GWO",-504.061820770366
"63.5",500,100,"GWO",-504.54978479093
"63.6",500,100,"GWO",-504.053475475943
"63.7",500,100,"GWO",-504.048249202277
"63.8",500,100,"GWO",-504.052248221725
"63.9",500,100,"GWO",-504.202047411218
"64",750,100,"GWO",-504.037435594527
"64.1",750,100,"GWO",-504.050422932003
"64.2",750,100,"GWO",-504.552406905806
"64.3",750,100,"GWO",-504.202272919379
"64.4",750,100,"GWO",-504.054126322778
"64.5",750,100,"GWO",-504.037465427749
"64.6",750,100,"GWO",-504.046163422758
"64.7",750,100,"GWO",-504.182280764365
"64.8",750,100,"GWO",-504.201957257403
"64.9",750,100,"GWO",-504.050519685806
"65",1000,100,"GWO",-504.055656661225
"65.1",1000,100,"GWO",-504.302265374276
"65.2",1000,100,"GWO",-504.492183848011
"65.3",1000,100,"GWO",-504.051231999479
